Dataset,Model,Method,K,Accuracy
AGSM8K,GPT-3.5-turbo,Self-consistency,10,58.38
AGSM8K,GPT-3.5-turbo,Self-consistency,20,60.96
AGSM8K,GPT-3.5-turbo,Self-consistency,40,70.58

AGSM8K,GPT-4o,Self-consistency,10,95.22
AGSM8K,GPT-4o,Self-consistency,20,96.29
AGSM8K,GPT-4o,Self-consistency,40,97.65

AGSM8K,GPT-4o-mini,Self-consistency,10,88.86
AGSM8K,GPT-4o-mini,Self-consistency,20,90.60
AGSM8K,GPT-4o-mini,Self-consistency,40,91.36

AGSM8K,O3-mini,Self-consistency,10,95.15
AGSM8K,O3-mini,Self-consistency,20,95.76
AGSM8K,O3-mini,Self-consistency,40,96.13

AGSM8K,Llama-3.1-8B,Self-consistency,10,50.95
AGSM8K,Llama-3.1-8B,Self-consistency,20,54.55
AGSM8K,Llama-3.1-8B,Self-consistency,40,56.06

AGSM8K,Qwen2.5-Coder,Self-consistency,10,25.15
AGSM8K,Qwen2.5-Coder,Self-consistency,20,26.06
AGSM8K,Qwen2.5-Coder,Self-consistency,40,26.35
